cinemaGroupName,createdAt,updatedAt,id
威秀,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,1
國賓,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,2
秀泰,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,3
喜滿客,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,4
哈拉,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,5
梅花,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,6
in89,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,7
百老匯,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,8
總督,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,9
民生,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,10
喜樂時代,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,11
美麗華,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,12
華威,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,13
陽明,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,14
新光,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,15
