title,content,url,cinemagroupModel,createdAt,updatedAt,id
中國信託銀行,周一至四，2D 全票 66 折（鼎極/御璽/鈦金/晶緻卡，每日每卡限購 4 張）,https://www.ctbcbank.com/html/201712/creditcard/CNB2015120409/index.html,1,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,1
花旗銀行,"周一至四 2D/3D 享全票 6 折，每日限購 2 張
周五至日與連續假日 2D 享全票 85 折，每日限購 4 張
周一至四  IMAX 享全票 75 折，每日限購 4 張
週五至日與連續假日 3D 與 IMAX 享全票 83 折，每日限購 4 張",https://www.citibank.com.tw/global_docs/chi/cc/160130_vieshow/index.htm,1,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,2
台新銀行,周一到周四全票 66 折,https://www.taishinbank.com.tw/TS/TS02/TS0201/TS020103/TS02010307/index.htm,1,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,3
中國信託銀行,"持環球中心聯名卡，2D 全票 6 折起
（需憑 399 元簽單，中和店 / 屏東店 2D 電影每日每卡限購 4 張）",https://www.ctbcbank.com/html/201712/creditcard/CNB2015120409/index.html,2,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,4
華南銀行,不限時段享全天候優待票價,http://www.hncb.com.tw/wps/portal/HNCB/card/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDfxNPT0M_A18DYLDjAwcfSxNzL19DY3cTcz1wyEKcABHA_0oovTjVhCF3_hw_Sg0K5wNDIEmuDoZurq5Gbp7GsAU4DajIDc0wiDTUREAlIPyXg!!/?1dmy&urile=wcm%3Apath%3A/wps/wcm/connect/hncb/site_map/hncb/card/movel,2,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,5
玉山銀行,天天享 2D 電影全票價 65 折起優惠,https://www.esunbank.com.tw/bank/personal/credit-card/discount/shops/literature,2,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,6
台新銀行,周一到周四全票 66 折,https://www.taishinbank.com.tw/TS/TS02/TS0201/TS020103/TS02010307/index.htm,2,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,7
中國信託銀行,"秀泰廣場影城聯名卡，現場購 2D 全票天天 200 元
（每日每卡限購 4 張）",https://www.ctbcbank.com/html/201712/creditcard/CNB2015120409/index.html,3,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,8
華南銀行,Love 晶緻悠遊聯名卡（寵愛紅）卡友憑當月同卡號 599（含）元以上簽單，天天享兩人同行全票價 6 折起優惠,http://www.hncb.com.tw/wps/portal/HNCB/card/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDfxNPT0M_A18DYLDjAwcfSxNzL19DY3cTcz1wyEKcABHA_0oovTjVhCF3_hw_Sg0K5wNDIEmuDoZurq5Gbp7GsAU4DajIDc0wiDTUREAlIPyXg!!/?1dmy&urile=wcm%3Apath%3A/wps/wcm/connect/hncb/site_map/hncb/card/movel,4,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,9
華南銀行,Love 晶緻悠遊聯名卡（寵愛紅）卡友憑當月同卡號 599（含）元以上簽單，天天享兩人同行全票價 6 折起優惠,http://www.hncb.com.tw/wps/portal/HNCB/card/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDfxNPT0M_A18DYLDjAwcfSxNzL19DY3cTcz1wyEKcABHA_0oovTjVhCF3_hw_Sg0K5wNDIEmuDoZurq5Gbp7GsAU4DajIDc0wiDTUREAlIPyXg!!/?1dmy&urile=wcm%3Apath%3A/wps/wcm/connect/hncb/site_map/hncb/card/movel,5,2017-12-24T14:59:59.880Z,2017-12-24T14:59:59.880Z,10
